排名,股票,价,涨,PEG,PE.扣非,预测增速,北上持股,PB,股息,ROE,市值.亿,今年来,行业
'125,SH603279.景津装备,'15.80,'-0.44%,'1.21,'11.58,9.67%,3.81%,'1.97,6.71%,17.88%,'91,'-9.41%,通用设备
'126,SH603338.浙江鼎力,'50.32,'+0.46%,'1.21,'14.52,12.41%,6.77%,'2.44,1.99%,17.88%,'255,'-20.22%,工程机械
'127,SZ000554.泰山石油,'6.86,'-0.15%,'1.22,'24.69,18.90%,'-,'3.02,1.51%,13.03%,'33,'+16.81%,石油行业
'128,SZ000683.博源化工,'5.73,0.00%,'1.22,'13.48,9.52%,0.53%,'1.43,5.24%,10.88%,'213,'+8.83%,化学原料
'129,SH600368.五洲交通,'4.33,0.00%,'1.23,'10.24,9.06%,0.41%,'0.99,3.03%,10.02%,'70,'-6.38%,铁路公路
'130,SH600809.山西汾酒,'182.10,'+0.45%,'1.23,'17.59,14.29%,4.02%,'5.79,3.33%,34.84%,'2222,'+2.34%,酿酒行业
'131,SZ000598.兴蓉环境,'7.14,'+0.42%,'1.24,'10.36,8.48%,1.35%,'1.13,2.63%,11.41%,'212,'-3.50%,公用事业
'132,SZ002056.横店东磁,'15.82,'+0.32%,'1.24,'13.28,11.49%,3.04%,'2.44,2.87%,19.96%,'257,'+26.19%,光伏设备
'133,SZ300842.帝科股份,'44.33,'+1.98%,'1.24,'28.16,16.01%,0.49%,'3.61,0.68%,13.94%,'62,'+8.97%,光伏设备
'134,SZ300881.盛德鑫泰,'37.18,'-1.09%,'1.24,'18.34,14.96%,'-,'3.76,2.66%,21.86%,'41,'+24.99%,钢铁行业
'135,SH600015.华夏银行,'8.08,0.00%,'1.25,'4.79,3.86%,3.22%,'0.35,5.01%,7.77%,'1286,'+6.13%,银行
'136,SH600233.圆通速递,'15.85,'+1.93%,'1.25,'13.81,11.52%,1.61%,'1.67,2.29%,12.61%,'542,'+14.84%,物流行业
'137,SH603799.华友钴业,'42.82,'+0.85%,'1.26,'14.92,12.99%,8.79%,'1.89,1.17%,13.31%,'729,'+48.51%,能源金属
'138,SZ000913.钱江摩托,'16.58,'+0.42%,'1.26,'13.94,13.66%,2.13%,'1.78,4.72%,13.18%,'87,'-5.49%,交运设备
'139,SH603369.今世缘,'39.45,'-0.33%,'1.27,'13.96,11.12%,2.75%,'2.88,3.04%,22.08%,'492,'-10.32%,酿酒行业
'140,SZ000651.格力电器,'46.90,'+0.39%,'1.27,'7.83,6.59%,6.82%,'1.83,2.14%,25.25%,'2617,'+5.43%,家电行业
'141,SH688596.正帆科技,'35.35,'+1.03%,'1.29,'19.25,16.14%,0.56%,'2.76,0.79%,15.78%,'103,'+0.27%,专用设备
'142,SH601168.西部矿业,'17.47,'+0.58%,'1.30,'13.09,10.32%,4.92%,'2.51,5.72%,19.66%,'416,'+15.73%,有色金属
'143,SH601900.南方传媒,'14.37,'+0.14%,'1.30,'12.96,9.04%,0.64%,'1.48,3.83%,11.72%,'127,'-1.28%,文化传媒
'144,SH601619.嘉泽新能,'3.81,'+0.79%,'1.31,'13.79,10.29%,1.07%,'1.33,2.89%,9.83%,'93,'+18.05%,电力行业
'145,SZ002533.金杯电工,'10.94,'-0.27%,'1.31,'13.66,11.79%,2.19%,'1.96,4.10%,14.83%,'81,'+14.00%,电网设备
'146,SH600546.山煤国际,'10.26,'+4.69%,'1.32,'10.48,7.28%,1.35%,'1.21,6.73%,11.70%,'203,'-6.70%,煤炭行业
'147,SH601677.明泰铝业,'12.72,'+0.16%,'1.32,'8.66,7.68%,1.91%,'0.89,1.33%,10.75%,'158,'+7.22%,有色金属
'148,SH600575.淮河能源,'3.55,'+0.28%,'1.34,'16.95,13.39%,0.38%,'1.17,3.38%,7.05%,'138,'-10.58%,电力行业
'149,SZ000719.中原传媒,'13.16,'-0.08%,'1.34,'12.17,7.60%,4.79%,'1.16,4.56%,9.81%,'135,'+21.42%,文化传媒
'150,SZ002096.易普力,'13.98,'-1.27%,'1.34,'23.63,18.75%,0.52%,'2.30,1.62%,10.07%,'176,'+19.55%,化学制品
'151,SH600780.通宝能源,'6.00,'-0.33%,'1.35,'12.56,9.84%,0.76%,'0.87,3.00%,7.13%,'69,'+6.57%,电力行业
'152,SH600803.新奥股份,'18.85,'+0.11%,'1.35,'13.30,11.34%,3.88%,'2.36,5.46%,17.77%,'584,'-8.29%,燃气
'153,SH603995.甬金股份,'17.96,'-0.22%,'1.35,'8.35,7.35%,3.41%,'1.13,2.78%,14.20%,'66,'+1.20%,钢铁行业
'154,SZ002758.浙农股份,'9.03,'-1.42%,'1.35,'12.52,10.81%,2.25%,'1.00,3.28%,8.14%,'48,'+6.63%,综合行业
'155,SZ002832.比音勒芬,'16.07,'+0.69%,'1.35,'12.14,9.48%,0.56%,'1.68,3.13%,14.06%,'91,'-22.60%,纺织服装
'156,SZ002850.科达利,'116.68,'+2.03%,'1.35,'20.17,15.48%,2.43%,'2.54,1.75%,13.42%,'313,'+21.58%,电池
'157,SH603357.设计总院,'8.72,'-0.23%,'1.36,'10.05,7.55%,0.68%,'1.27,3.21%,13.17%,'49,'-0.54%,工程咨询服务
'158,SH603600.永艺股份,'10.97,'+0.27%,'1.36,'11.65,8.78%,'-,'1.57,4.20%,13.86%,'36,'-5.08%,装修建材
'159,SH603766.隆鑫通用,'12.71,'+4.87%,'1.36,'19.04,14.40%,5.19%,'2.69,3.15%,15.07%,'261,'+43.71%,交运设备
'160,SZ000875.吉电股份,'5.22,'+0.77%,'1.36,'17.02,14.75%,0.38%,'1.08,0.31%,7.39%,'188,'-0.44%,电力行业
'161,SH605183.确成股份,'20.48,'-0.78%,'1.37,'15.31,11.35%,0.46%,'2.45,1.46%,17.11%,'85,'+23.59%,橡胶制品
'162,SZ000563.陕国投Ａ,'3.62,'-0.28%,'1.37,'13.45,10.65%,0.87%,'1.02,2.48%,7.73%,'186,'+3.18%,多元金融
'163,SZ300750.宁德时代,'265.00,'-0.26%,'1.37,'20.76,16.98%,13.78%,'4.11,2.18%,23.77%,'11700,'+2.10%,电池
'164,SZ000630.铜陵有色,'4.03,'+10.11%,'1.39,'16.48,12.38%,1.76%,'1.34,2.73%,8.37%,'468,'+28.72%,有色金属
'165,SZ001914.招商积余,'13.02,'+2.60%,'1.39,'15.48,11.65%,1.51%,'1.26,1.34%,8.44%,'135,'+23.18%,房地产服务
'166,SZ300856.科思股份,'15.17,'+0.33%,'1.40,'18.41,13.91%,0.51%,'2.55,4.25%,13.75%,'72,'-15.93%,美容护理
'167,SH603100.川仪股份,'20.59,'+0.78%,'1.41,'14.22,12.29%,0.68%,'2.39,2.79%,17.41%,'106,'-1.79%,仪器仪表
'168,SH601658.邮储银行,'5.90,'+0.85%,'1.42,'8.26,5.85%,0.94%,'0.71,3.51%,8.57%,'5914,'+9.02%,银行
