序	代码	股票	价	涨	控盘度	股东数.人	更新日	北上持股	扣非PE	PB	股息	A股市值	今年来	行业
30	301027	华蓝集团	20.32	-0.97%	10956	8,810	3.31	-	-	3.23	0.06%	30.16	26.53%	工程咨询服务
31	301106	骏成科技	31.89	0.92%	10913	9,163	3.31	-	36.45	2.56	1.27%	32.11	14.87%	光学光电子
32	300995	奇德新材	45.32	4.59%	10817	6,374	7.31	-	300	5.79	0.35%	36.47	187.92%	塑料制品
33	300665	飞鹿股份	9.3	0.22%	10794	9,264	3.31	-	-	4.8	0.48%	19.59	50.00%	化学制品
34	301167	建研设计	17.58	0.74%	10738	9,312	3.31	-	140.85	2.07	0.34%	19.54	39.10%	工程咨询服务
35	301259	艾布鲁	44.05	1.97%	10587	8,643	7.31	0.05%	-	8	-	67.39	-8.23%	环保行业
36	301191	菲菱科思	91.12	0.03%	10576	9,455	3.31	0.29%	85.1	3.65	1.10%	63.16	3.12%	通信设备
37	300886	华业香料	29.32	0.07%	10555	7,214	3.31	-	86.49	3.8	0.34%	21.92	56.55%	美容护理
38	301156	美农生物	20.06	-1.33%	10463	7,290	3.31	-	65.05	3.89	1.57%	28.62	61.07%	农牧饲渔
39	300689	澄天伟业	60.71	7.04%	10356	4,651	3.31	-	300	9.61	0.07%	65.57	137.89%	通信设备
40	301178	天亿马	53.62	2.23%	10344	9,667	3.31	-	-	4.6	0.19%	35.06	91.84%	软件开发
41	301222	浙江恒威	30.39	0.10%	10276	9,731	3.31	-	28.17	2.15	0.99%	30.76	20.73%	电池
42	301033	迈普医学	75.21	-0.65%	10188	6,036	3.31	-	63.86	6.93	0.79%	50.43	80.54%	医疗服务
43	301257	普蕊斯	40.01	-2.56%	10129	8,735	7.31	-	47.2	2.75	0.61%	32.44	48.91%	医疗服务
44	300669	沪宁股份	28.51	0.32%	10125	4,712	3.31	-	240.62	6.21	0.35%	54.77	37.21%	专用设备
45	3017	大洋生物	32.15	-5.41%	10094	8,959	3.31	-	37.98	2.64	0.88%	28.55	74.77%	化学原料
46	603822	嘉澳环保	61.58	3.48%	10052	5,492	3.31	-	-	8.34	-	47.31	26.29%	化学制品
47	301239	普瑞眼科	41.49	-0.60%	9976	10,024	3.31	0.61%	-	2.93	0.96%	62.45	-11.54%	医疗服务
48	301306	西测测试	70.49	9.63%	9871	10,130	3.31	-	-	5.43	-	54.27	88.63%	专业服务
49	300553	集智股份	41.33	3.98%	9767	9,297	3.31	-	300	5.34	-	44.13	95.37%	仪器仪表
50	301235	华康洁净	30.4	-3.19%	9744	9,133	7.1	-	35.22	1.9	0.16%	33.16	50.73%	医疗服务
51	1336	楚环科技	23.65	-0.38%	9708	8,500	7.31	-	112.73	2.43	0.63%	19.08	35.27%	专用设备
52	301112	信邦智能	42.33	4.62%	9694	10,315	7.31	-	217.49	3.62	0.25%	44.61	81.63%	专用设备
53	301006	迈拓股份	16.93	0.95%	9686	8,530	3.31	-	30.29	1.86	1.19%	23.36	30.08%	仪器仪表
54	301193	家联科技	20.34	-0.88%	9680	5,694	3.31	-	-	2.37	-	39.4	23.05%	塑料制品
55	301148	嘉戎技术	25.23	-0.04%	9501	10,525	3.31	-	99.23	1.67	1.55%	29.4	40.60%	环保行业
56	300928	华安鑫创	35.77	0.73%	9434	8,854	3.31	-	-	2.51	-	28.41	8.76%	汽车零部件
57	2857	三晖电气	27.46	0.36%	9420	6,937	3.31	-	300	6.88	0.05%	35.34	118.79%	电网设备
58	301237	和顺科技	39.19	-3.19%	9319	9,446	3.31	-	-	2.43	0.25%	32.38	63.92%	塑料制品
59	301103	何氏眼科	23.37	-0.59%	9275	9,399	3.31	-	-	1.94	0.64%	37.15	16.97%	医疗服务
60	300668	杰恩设计	18.75	0.81%	9077	6,616	7.31	-	-	3.04	-	22.39	-17.26%	工程咨询服务
