序,股票,价,涨,北上,现金/市值,资产负债率,现金流.亿,市值.亿,PE.扣非,股息,净利润.亿,今年来,行业
'321,000888.峨眉山Ａ,'14.60,'+0.83%,3.27%,14.62%,28.56%,'11.25,'76.93,'34.12,1.71%,'2.25,'+12.39%,旅游酒店
'322,002978.安宁股份,'33.30,'+0.21%,0.32%,14.58%,24.96%,'22.91,'157.17,'18.37,2.78%,'8.56,'+19.09%,有色金属
'323,688162.巨一科技,'31.65,'-0.75%,'-,14.58%,70.61%,'6.33,'43.42,'300.00,0.70%,'0.06,'+16.66%,专用设备
'324,600367.红星发展,'16.80,'+4.22%,'-,14.57%,17.16%,'8.35,'57.31,'44.15,0.18%,'1.30,'+45.80%,化学原料
'325,688061.灿瑞科技,'35.15,'-2.23%,'-,14.56%,11.29%,'5.88,'40.38,'-,0.09%,'-1.11,'+21.71%,半导体
'326,603948.建业股份,'32.09,'+10.01%,'-,14.52%,18.47%,'7.57,'52.14,'27.44,3.12%,'1.90,'+83.42%,化学制品
'327,300772.运达股份,'15.76,'-2.35%,1.38%,14.51%,84.77%,'18.00,'124.01,'29.21,0.38%,'4.24,'+19.60%,风电设备
'328,301219.腾远钴业,'72.98,'+7.75%,0.28%,14.49%,24.04%,'31.17,'215.08,'30.59,0.69%,'7.03,'+63.25%,能源金属
'329,002990.盛视科技,'30.46,'+0.13%,0.49%,14.49%,33.17%,'11.53,'79.59,'89.09,0.69%,'0.89,'+32.54%,软件开发
'330,300407.凯发电气,'11.53,'-0.09%,'-,14.47%,43.35%,'5.31,'36.69,'63.66,0.87%,'0.58,'+14.43%,电网设备
'331,688125.安达智能,'44.70,'+0.02%,'-,14.47%,22.24%,'5.30,'36.62,'-,'-,'-0.59,'+14.41%,专用设备
'332,000519.中兵红箭,'21.43,'-1.61%,0.47%,14.42%,33.99%,'43.03,'298.43,'-,'-,'-4.32,'+48.30%,专用设备
