序,股票,价,涨,持股比,持有市值.亿,近3月,近1年,近2年,近3年,PE,股息,市值,今年来,行业
'116,688789.宏华数科,'75.70,'-0.20%,5.20%,'6.82,'+0.91%,'+3.90%,'+5.09%,%,'31.78,1.06%,'135.84,'+14.98%,专用设备
'117,603766.隆鑫通用,'12.58,'-0.47%,5.19%,'13.59,'-0.66%,'+0.04%,'+3.16%,'+4.44%,'16.51,3.18%,'258.34,'+42.24%,交运设备
'118,600988.赤峰黄金,'28.05,'+8.01%,5.16%,'21.36,'-3.87%,'-1.54%,'+3.61%,'+3.57%,'24.53,0.57%,'466.73,'+80.83%,贵金属
'119,002517.恺英网络,'22.30,'-4.17%,5.16%,'21.27,'+0.20%,'+1.58%,'-3.18%,'-2.94%,'27.43,0.90%,'476.43,'+64.81%,游戏
'120,300502.新易盛,'388.50,'+9.07%,5.10%,'64.24,'+3.19%,'+0.51%,'+3.32%,'+1.25%,'65.45,0.08%,'3860.58,'+372.48%,通信设备
'121,601689.拓普集团,'61.51,'-1.76%,5.07%,'41.66,'-0.01%,'+1.41%,'-0.72%,'+2.75%,'41.21,0.84%,'1068.94,'+26.90%,汽车零部件
'122,601717.中创智领,'21.71,'+6.16%,5.04%,'12.92,'+0.41%,'+0.12%,'+2.33%,'+2.01%,'10.20,5.16%,'334.80,'+78.47%,汽车零部件
'123,002027.分众传媒,'8.70,'+4.69%,5.03%,'52.99,'-1.94%,'-3.40%,'-13.90%,'-8.48%,'25.46,3.79%,'1256.47,'+27.33%,文化传媒
'124,301080.百普赛斯,'59.83,'+2.08%,4.99%,'4.28,'+3.13%,'+2.51%,'+3.74%,'+4.90%,'69.00,0.84%,'100.42,'+91.86%,医疗服务
'125,300624.万兴科技,'79.95,'+1.61%,4.98%,'5.98,'+0.89%,'+3.74%,'+4.13%,'+0.81%,'-,'-,'154.57,'+26.60%,软件开发
'126,601168.西部矿业,'19.33,'+3.65%,4.92%,'19.48,'-0.51%,'-3.05%,'-1.16%,'+3.27%,'14.84,5.17%,'460.63,'+28.05%,有色金属
'127,300207.欣旺达,'24.81,'+1.06%,4.91%,'18.19,'-0.32%,'+1.60%,'+0.64%,'+0.04%,'33.24,0.60%,'457.94,'+12.11%,电池
