排名,股票,价,涨,便宜指数,北上持股,PE.扣非,PE.TTM,PB,股息,ROE,市值(亿),今年来,行业
'119,SZ002014.永新股份,'11.23,'-0.62%,'6.61,0.54%,'15.50,'14.61,'2.87,5.52%,20.06%,'68.78,'+7.92%,包装材料
'120,SH601369.陕鼓动力,'8.36,'-0.83%,'6.60,0.80%,'15.82,'14.45,'1.63,5.39%,11.45%,'144.08,'-0.95%,通用设备
'121,SH605377.华旺科技,'9.45,'+0.85%,'6.60,0.28%,'16.79,'16.32,'1.34,7.68%,8.16%,'52.61,'-11.43%,造纸印刷
'122,SZ002538.司尔特,'5.45,'-1.98%,'6.59,0.92%,'20.24,'19.17,'0.88,4.40%,4.57%,'46.52,'-0.75%,化肥行业
'123,SH601872.招商轮船,'6.65,'+2.47%,'6.58,2.93%,'12.00,'11.34,'1.33,3.86%,12.12%,'536.96,'+6.23%,航运港口
'124,SZ002563.森马服饰,'5.48,'+0.18%,'6.58,6.37%,'17.59,'16.22,'1.31,6.39%,8.10%,'147.64,'-17.10%,纺织服装
'125,SZ000568.泸州老窖,'135.85,'-0.98%,'6.57,2.22%,'15.32,'15.25,'4.30,4.38%,29.68%,'1999.65,'+13.86%,酿酒行业
'126,SZ002555.三七互娱,'19.65,'-0.20%,'6.57,6.01%,'16.08,'15.48,'3.34,5.09%,21.90%,'434.70,'+30.63%,游戏
'127,SZ301039.中集车辆,'9.16,'+0.66%,'6.56,0.44%,'18.82,'18.56,'1.19,6.11%,6.43%,'133.16,'+4.67%,汽车整车
'128,SH601811.新华文轩,'16.18,'-0.80%,'6.56,1.57%,'11.34,'11.84,'1.32,3.71%,11.75%,'128.13,'+4.84%,文化传媒
'129,SH605098.行动教育,'36.00,'+0.11%,'6.54,2.50%,'19.06,'16.27,'4.29,6.25%,26.64%,'42.93,'+7.02%,教育
'130,SH600368.五洲交通,'4.28,0.00%,'6.53,0.41%,'11.41,'10.42,'0.99,3.06%,9.80%,'68.89,'-7.46%,铁路公路
'131,SZ300628.亿联网络,'38.04,'+0.66%,'6.53,3.14%,'20.61,'19.06,'5.60,4.98%,29.82%,'481.80,'+2.27%,通信设备
'132,SZ000915.华特达因,'33.47,'+0.54%,'6.52,3.15%,'15.54,'15.05,'2.82,7.47%,18.53%,'78.43,'+26.59%,化学制药
'133,SH600968.海油发展,'4.07,'+2.01%,'6.52,1.57%,'10.06,'10.69,'1.50,3.32%,14.66%,'413.72,'-1.55%,采掘行业
'134,SH605599.菜百股份,'14.59,'+4.59%,'6.52,2.42%,'16.36,'14.59,'2.89,4.93%,20.51%,'113.48,'+33.67%,珠宝首饰
'135,SZ002867.周大生,'13.86,'+3.67%,'6.51,0.93%,'15.29,'15.01,'2.41,6.92%,16.01%,'150.45,'-0.05%,珠宝首饰
'136,SH603833.欧派家居,'55.52,'+0.33%,'6.51,1.92%,'13.63,'12.87,'1.82,4.47%,14.62%,'338.20,'-16.01%,装修建材
'137,SH600681.百川能源,'3.87,'+4.31%,'6.51,0.96%,'18.29,'14.51,'1.44,6.07%,9.94%,'51.89,'+15.32%,燃气
'138,SH603551.奥普科技,'12.59,'+1.04%,'6.50,'-,'16.64,'16.00,'3.74,6.82%,22.46%,'49.12,'+23.87%,家电行业
'139,SZ000598.兴蓉环境,'6.75,'-1.03%,'6.50,1.35%,'10.03,'9.86,'1.08,2.77%,11.43%,'201.45,'-8.77%,公用事业
'140,SH600578.京能电力,'4.29,'+1.42%,'6.49,0.80%,'10.57,'10.41,'0.99,2.80%,9.71%,'287.20,'+24.99%,电力行业
'141,SH601330.绿色动力,'6.99,'-0.57%,'6.48,1.07%,'14.92,'14.77,'1.19,4.29%,8.20%,'69.14,'+9.53%,环保行业
'142,SH603689.皖天然气,'8.70,'+0.69%,'6.48,'-,'13.13,'13.01,'1.28,4.02%,10.21%,'42.65,'+0.96%,燃气
'143,SZ001965.招商公路,'10.50,'+0.86%,'6.47,1.45%,'15.39,'13.99,'1.02,3.97%,7.37%,'716.14,'-21.93%,铁路公路
'144,SH603967.中创物流,'11.65,'+0.52%,'6.47,'-,'16.34,'15.42,'1.76,5.15%,11.57%,'40.39,'+24.38%,物流行业
'145,SH601222.林洋能源,'6.15,'+3.36%,'6.47,0.97%,'24.62,'26.49,'0.82,4.36%,3.08%,'126.70,'-9.62%,仪器仪表
'146,SH600398.海澜之家,'6.92,'-0.72%,'6.45,1.80%,'16.04,'15.81,'1.87,5.92%,11.91%,'332.35,'-5.45%,纺织服装
'147,SZ000895.双汇发展,'25.61,'+1.55%,'6.42,1.81%,'18.50,'17.69,'4.26,8.04%,24.14%,'887.30,'+4.15%,食品饮料
'148,SH601900.南方传媒,'14.11,'-0.70%,'6.42,0.64%,'11.91,'12.94,'1.51,3.90%,12.01%,'124.45,'-3.07%,文化传媒
'149,SH600551.时代出版,'8.94,'-0.45%,'6.42,2.96%,'20.73,'13.88,'1.05,4.47%,7.65%,'60.62,'+7.42%,文化传媒
'150,SH600352.浙江龙盛,'10.46,'-0.95%,'6.41,6.92%,'19.16,'16.55,'0.99,4.30%,6.03%,'340.30,'+4.17%,化学制品
'151,SZ002043.兔宝宝,'10.85,'+0.74%,'6.41,0.76%,'18.25,'14.78,'2.92,5.55%,20.23%,'90.03,'-5.78%,装修建材
'152,SZ002293.罗莱生活,'8.56,'-0.23%,'6.40,2.80%,'17.12,'15.53,'1.77,7.00%,11.32%,'71.40,'+14.50%,纺织服装
'153,SH600170.上海建工,'2.47,'+2.07%,'6.39,2.08%,'172.30,'10.70,'0.48,2.43%,4.51%,'219.48,'-4.53%,工程建设
'154,SZ000623.吉林敖东,'20.13,'-1.66%,'6.37,1.26%,'12.49,'10.49,'0.80,2.48%,7.87%,'240.73,'+18.59%,化学制药
'155,SH601098.中南传媒,'13.17,'+0.08%,'6.37,4.78%,'13.08,'14.66,'1.50,4.18%,10.49%,'236.53,'-9.28%,文化传媒
'156,SH600941.XD中国移,'106.99,'-0.01%,'6.36,4.09%,'18.06,'16.24,'1.66,6.70%,10.40%,'965.87,'-5.50%,通信服务
'157,SH688516.奥特维,'42.18,'+3.89%,'6.36,1.15%,'17.64,'16.38,'3.43,5.83%,20.48%,'132.95,'+2.16%,光伏设备
'158,SH600742.富维股份,'10.35,'-2.36%,'6.35,3.87%,'14.44,'15.05,'0.90,3.38%,6.06%,'76.91,'+21.40%,汽车零部件
'159,SH601083.锦江航运,'12.16,'-0.08%,'6.35,0.14%,'10.71,'10.51,'1.75,3.27%,17.58%,'157.36,'+31.00%,航运港口
'160,SZ000858.五粮液,'128.87,'-0.51%,'6.34,3.08%,'15.50,'15.49,'3.56,4.46%,23.83%,'5002.23,'-3.70%,酿酒行业
'161,SH600710.苏美达,'10.31,'-2.55%,'6.33,4.33%,'11.79,'11.01,'1.73,3.58%,16.60%,'134.73,'+15.24%,贸易行业
'162,SZ300441.鲍斯股份,'8.81,'+2.20%,'6.33,0.09%,'25.45,'7.43,'2.34,5.11%,34.87%,'56.77,'+4.86%,通用设备
'163,SH603357.设计总院,'8.62,'-1.15%,'6.33,0.68%,'11.58,'10.59,'1.27,3.25%,12.51%,'48.32,'-1.68%,工程咨询服务
'164,SH600750.江中药业,'21.93,'+0.32%,'6.33,1.44%,'18.32,'16.95,'3.53,5.45%,20.99%,'139.25,'-0.34%,中药
'165,SH603588.高能环境,'6.80,'-2.86%,'6.32,1.91%,'28.30,'18.22,'1.10,5.92%,5.98%,'103.58,'+31.39%,环保行业
'166,SH603886.元祖股份,'13.14,'-1.28%,'6.32,'-,'18.21,'14.53,'2.21,7.61%,15.08%,'31.54,'-2.05%,食品饮料
'167,SH600060.海信视像,'22.05,'-0.23%,'6.30,4.35%,'14.48,'11.66,'1.45,3.99%,13.00%,'287.75,'+15.06%,家电行业
'168,SH603816.顾家家居,'28.71,'-1.68%,'6.29,1.25%,'16.61,'15.31,'2.41,4.81%,16.13%,'235.93,'+9.85%,装修建材
'169,SZ002001.新和成,'24.83,'-0.28%,'6.26,6.24%,'10.38,'10.50,'2.50,2.82%,25.89%,'763.13,'+16.62%,化学制药
'170,SH600720.中交设计,'7.76,'+0.26%,'6.26,0.40%,'11.45,'10.58,'1.18,2.95%,12.28%,'178.06,'-9.88%,工程咨询服务
'171,SZ002088.鲁阳节能,'11.73,'+1.12%,'6.25,0.48%,'16.98,'17.21,'2.34,6.82%,13.51%,'60.19,'-1.78%,装修建材
'172,SZ000429.粤高速Ａ,'11.70,'-1.01%,'6.25,0.94%,'15.68,'13.87,'2.33,4.47%,17.50%,'203.82,'-17.32%,铁路公路
'173,SH600057.厦门象屿,'7.29,'+2.24%,'6.24,1.21%,'42.43,'12.24,'0.68,3.43%,6.36%,'204.58,'+16.40%,物流行业
