排名,股票,价,涨,PEG,PE.扣非,预测增速,北上持股,PB,股息,ROE,市值.亿,今年来,行业
'277,SZ002825.纳尔股份,'10.37,0.00%,'1.81,'20.01,15.04%,'-,'2.22,1.35%,11.60%,'35,'+34.12%,塑料制品
'278,SZ300693.盛弘股份,'38.34,'-1.72%,'1.81,'29.57,16.83%,3.06%,'6.49,1.30%,23.75%,'120,'+44.49%,电源设备
'279,SH600987.航民股份,'7.31,'+1.11%,'1.83,'10.14,5.86%,3.86%,'1.17,4.10%,11.74%,'75,'+9.85%,纺织服装
'280,SH688093.世华科技,'40.50,'-1.82%,'1.83,'28.81,16.45%,0.02%,'5.04,1.28%,18.52%,'106,'+101.91%,电子元件
'281,SZ002206.海利得,'6.14,'-2.85%,'1.83,'13.80,7.00%,1.82%,'1.87,2.93%,13.79%,'71,'+48.25%,化纤行业
'282,SZ300729.乐歌股份,'14.83,'-0.40%,'1.83,'16.63,16.09%,0.18%,'1.39,2.02%,9.07%,'51,'-4.80%,家用轻工
'283,SZ300893.松原安全,'31.01,'+1.04%,'1.84,'32.93,18.93%,0.24%,'6.76,0.46%,22.88%,'98,'+49.64%,汽车零部件
'284,SH600182.S佳通,'15.50,'+0.45%,'1.85,'37.31,20.08%,'-,'4.96,5.87%,12.40%,'53,'-4.94%,橡胶制品
'285,SH600268.国电南自,'10.14,'-2.31%,'1.85,'23.10,12.99%,6.99%,'3.05,1.38%,13.92%,'103,'+53.68%,电网设备
'286,SZ002448.中原内配,'10.83,'+1.69%,'1.85,'24.45,13.15%,'-,'1.75,1.20%,7.35%,'64,'+75.71%,汽车零部件
'287,SZ002648.卫星化学,'20.00,'-0.45%,'1.85,'9.97,5.42%,4.46%,'2.17,2.50%,23.56%,'674,'+9.65%,化学原料
'288,SH603223.恒通股份,'9.45,'-1.15%,'1.86,'36.90,20.42%,0.42%,'1.75,0.74%,4.82%,'67,'-9.31%,物流行业
'289,SH603328.依顿电子,'11.45,'-1.38%,'1.86,'26.12,14.57%,0.73%,'2.66,1.73%,10.74%,'114,'+18.33%,电子元件
'290,SH603345.安井食品,'74.88,'+0.78%,'1.86,'18.38,11.26%,4.07%,'1.87,4.47%,10.35%,'220,'-5.72%,食品饮料
'291,SH603829.洛凯股份,'17.70,'+0.63%,'1.86,'22.81,12.92%,'-,'2.50,0.71%,11.75%,'28,'+32.27%,电网设备
'292,SZ002939.长城证券,'12.07,'-1.31%,'1.86,'21.71,11.71%,1.92%,'1.56,1.08%,7.44%,'487,'+48.73%,证券
'293,SH603950.长源东谷,'31.39,'-6.49%,'1.87,'34.02,19.44%,0.29%,'3.65,0.69%,11.21%,'102,'+79.83%,汽车零部件
