,股票,价,涨,最新股息,平均股息,扣非PE,PB,ROE,市值(亿),今年来,行业
'794,688772.珠海冠宇,'22.00,'-3.30%,1.36%,2.00%,'67.66,'3.46,6.36%,'249.06,'+39.75%,电池
'795,000596.古井贡酒,'170.40,'-0.53%,3.52%,2.00%,'16.25,'3.58,23.42%,'696.25,'+2.60%,酿酒行业
'796,002790.瑞尔特,'7.35,'-0.27%,3.27%,2.00%,'25.62,'1.46,6.81%,'30.71,'+3.58%,装修建材
'797,600702.舍得酒业,'69.35,'+1.42%,0.62%,1.99%,'88.40,'3.27,2.82%,'230.77,'+6.02%,酿酒行业
'798,600909.华安证券,'6.43,'-1.08%,1.56%,1.99%,'16.75,'1.30,8.10%,'300.82,'+7.91%,证券
'799,601061.中信金属,'9.31,'+3.22%,1.80%,1.99%,'18.06,'2.03,11.95%,'456.19,'+31.06%,贸易行业
'800,603055.台华新材,'9.42,'-0.63%,2.65%,1.99%,'19.51,'1.64,12.79%,'83.87,'-12.71%,纺织服装
'801,002972.科安达,'12.73,'+0.08%,2.36%,1.99%,'41.17,'2.54,6.81%,'31.32,'+24.19%,交运设备
'802,300396.迪瑞医疗,'14.12,'+0.86%,1.84%,1.99%,亏损,'1.97,'-1.00%,'38.51,'-11.90%,医疗器械
'803,600480.凌云股份,'13.70,'-0.51%,2.25%,1.98%,'29.53,'2.16,9.17%,'167.46,'+68.26%,汽车零部件
'804,603100.川仪股份,'20.74,'-0.48%,2.77%,1.98%,'17.84,'2.36,17.31%,'106.44,'-1.07%,仪器仪表
'805,688669.聚石化学,'23.52,'-1.96%,0.85%,1.98%,亏损,'2.18,'-1.00%,'28.54,'+52.33%,塑料制品
'806,002830.名雕股份,'17.07,'+0.83%,1.46%,1.98%,'57.80,'3.53,6.17%,'22.76,'+39.03%,装修装饰
'807,003041.真爱美家,'23.30,'-4.59%,1.72%,1.98%,'52.01,'2.26,17.11%,'33.55,'-11.88%,纺织服装
'808,300388.节能国祯,'7.77,'+0.13%,1.67%,1.98%,'16.41,'1.16,7.99%,'52.92,'+4.86%,环保行业
'809,600933.爱柯迪,'19.25,'-2.14%,1.56%,1.97%,'18.70,'2.20,12.69%,'189.64,'+20.36%,汽车零部件
'810,605183.确成股份,'20.27,'+1.76%,1.48%,1.97%,'15.28,'2.41,17.00%,'84.30,'+22.33%,橡胶制品
'811,000338.潍柴动力,'14.81,'-2.18%,4.86%,1.97%,'12.66,'1.44,12.84%,'1003.03,'+10.48%,汽车零部件
'812,002135.东南网架,'4.36,'-0.68%,1.61%,1.97%,'65.19,'0.75,1.62%,'48.64,'+4.31%,工程建设
'813,300828.锐新科技,'16.52,'-1.14%,1.82%,1.97%,'58.64,'3.57,6.35%,'27.49,'+0.23%,有色金属
'814,300906.日月明,'32.07,'+3.82%,1.56%,1.97%,'71.14,'2.90,7.86%,'25.66,'+25.77%,交运设备
'815,301195.北路智控,'35.55,'-1.50%,1.83%,1.97%,'27.48,'1.98,8.12%,'46.95,'+12.72%,软件开发
'816,600587.新华医疗,'16.33,'+0.31%,1.53%,1.96%,'20.54,'1.26,7.72%,'99.07,'-0.29%,医疗器械
'817,601952.苏垦农发,'9.68,'-0.62%,2.79%,1.96%,'22.97,'1.96,9.75%,'133.39,'+0.98%,农牧饲渔
