排名,股票,价,涨,PEG,PE.扣非,预测增速,北上持股,PB,股息,ROE,市值.亿,今年来,行业
'341,SZ002611.东方精工,'15.64,'+9.99%,'0.79,'23.66,37.00%,1.20%,'3.27,0.91%,14.89%,'173,'+62.10%,专用设备
'342,SH601799.星宇股份,'123.59,'+1.35%,'0.80,'23.73,30.46%,8.45%,'3.34,1.21%,14.91%,'353,'-6.54%,汽车零部件
'343,SH688200.华峰测控,'143.72,'+0.52%,'0.80,'52.31,67.88%,6.53%,'5.36,0.68%,10.67%,'195,'+38.21%,半导体
'344,SZ000630.铜陵有色,'4.03,'+10.11%,'0.80,'16.48,21.48%,1.76%,'1.34,2.73%,8.37%,'468,'+28.72%,有色金属
'345,SZ002698.博实股份,'17.17,'+1.84%,'0.80,'30.32,39.96%,0.88%,'4.36,1.48%,15.10%,'172,'+2.70%,专用设备
'346,SZ003037.三和管桩,'8.79,'-1.12%,'0.80,'75.33,131.92%,'-,'1.91,0.56%,2.54%,'53,'+20.06%,水泥建材
'347,SZ300666.江丰电子,'70.27,'+0.70%,'0.80,'37.17,71.11%,1.68%,'3.95,0.44%,11.20%,'185,'+1.61%,半导体
'348,SH600995.南网储能,'10.13,'+0.20%,'0.81,'26.64,32.35%,0.25%,'1.49,1.04%,5.67%,'324,'+0.78%,电力行业
'349,SH601009.南京银行,'11.98,'+0.17%,'0.81,'7.20,8.95%,2.88%,'0.77,4.09%,11.17%,'1481,'+14.38%,银行
'350,SH605016.百龙创园,'20.53,'-1.06%,'0.81,'31.53,40.80%,1.77%,'4.90,0.71%,16.46%,'86,'+58.76%,食品饮料
'351,SZ000651.格力电器,'46.90,'+0.39%,'0.81,'7.83,10.31%,6.82%,'1.83,2.14%,25.25%,'2617,'+5.43%,家电行业
'352,SZ002920.德赛西威,'105.95,'+2.56%,'0.81,'26.03,34.03%,1.41%,'5.61,1.16%,23.70%,'573,'-2.60%,汽车零部件
