序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来	自定义 
151	16551	诺德策略回报	8月5日	1.1442	1.1442	1.80%	-0.51%	15.39%	31.53%	46.71%	56.35%	29.03%	---	38.14%	14.41%	54.66%
152	16858	国金量化多因	8月5日	2.61	2.61	0.98%	-0.15%	7.79%	21.68%	32.55%	56.21%	22.59%	---	29.92%	47.38%	54.92%
153	9601	招商科技动力	8月5日	1.4098	1.4098	1.06%	-0.37%	9.67%	9.88%	15.03%	55.87%	73.24%	78.86%	18.68%	40.98%	55.14%
154	10409	富国消费精选	8月5日	1.0179	1.0179	1.26%	-1.79%	-0.50%	7.02%	21.32%	55.83%	31.31%	18.43%	27.32%	1.79%	55.45%
155	11077	汇丰晋信创新	8月5日	0.9519	0.9519	0.67%	-0.95%	6.07%	9.68%	9.73%	55.82%	25.50%	9.88%	14.66%	-4.81%	54.91%
156	3230	创金合信医疗	8月5日	2.2638	2.1913	0.23%	0.73%	18.88%	29.46%	53.92%	55.79%	21.90%	-11.02%	50.40%	119.13%	53.78%
157	20476	泰康半导体量	8月5日	1.5594	1.5594	0.22%	-1.46%	5.66%	1.91%	7.95%	55.78%	---	---	8.03%	55.94%	54.64%
158	1975	景顺长城环保	8月5日	3.568	3.568	1.08%	0.08%	4.94%	7.63%	21.28%	55.74%	16.22%	1.51%	21.07%	256.80%	53.33%
159	20748	国联智选先锋	8月5日	1.5258	1.5258	0.91%	1.34%	8.70%	18.64%	23.40%	55.58%	---	---	23.81%	52.58%	53.32%
160	11373	招商前沿医疗	8月5日	0.681	0.681	1.32%	-1.60%	16.97%	34.35%	54.04%	55.55%	17.92%	-3.70%	49.97%	-31.90%	51.77%
161	3865	创金合信量化	8月5日	1.2235	1.8541	0.63%	0.53%	7.88%	18.24%	23.65%	55.42%	11.75%	5.39%	22.25%	58.71%	53.42%
162	16552	诺德策略回报	8月5日	1.1249	1.1249	1.80%	-0.52%	15.33%	31.32%	46.28%	55.42%	27.48%	---	37.64%	12.48%	53.74%
163	11236	摩根行业睿选	8月5日	0.8031	0.8031	0.36%	-2.56%	7.40%	26.73%	29.22%	55.28%	15.74%	-9.38%	29.10%	-19.69%	54.03%
164	20477	泰康半导体量	8月5日	1.5518	1.5518	0.22%	-1.46%	5.62%	1.80%	7.75%	55.18%	---	---	7.78%	55.18%	54.04%
165	10003	景顺长城电子	8月5日	1.3656	1.3656	1.20%	-0.23%	2.28%	5.15%	13.80%	55.02%	19.91%	14.36%	16.06%	36.56%	52.29%
166	21605	富国消费精选	8月5日	1.01	1.01	1.25%	-1.81%	-0.55%	6.83%	20.93%	54.81%	---	---	26.73%	35.04%	54.41%
