序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来	自定义 
111	12359	汇丰晋信医疗	8月5日	0.877	0.877	2.54%	0.60%	16.51%	47.59%	90.86%	89.95%	54.70%	20.60%	86.40%	-12.30%	83.20%
112	10377	广发价值核心	8月5日	0.86	0.86	0.86%	-2.08%	5.92%	14.67%	35.90%	89.93%	54.68%	35.58%	46.08%	-14.00%	86.43%
113	90019	大成景恒混合	8月5日	3.3083	4.4289	0.35%	1.08%	9.40%	22.63%	31.92%	89.85%	39.83%	55.98%	31.90%	342.89%	86.00%
114	10159	中银医疗保健	8月5日	2.762	3.192	0.50%	-1.18%	10.14%	28.67%	78.61%	89.85%	83.06%	57.77%	76.15%	26.10%	86.68%
115	9023	鹏华稳健回报	8月5日	1.4955	1.4955	-0.68%	0.60%	12.09%	31.39%	34.37%	89.78%	34.84%	11.65%	34.62%	49.55%	85.02%
116	7132	长城港股通价	8月5日	1.2428	1.2628	1.25%	-1.44%	6.35%	11.98%	31.18%	89.77%	47.88%	29.26%	43.06%	26.65%	89.89%
117	10034	安信成长精选	8月5日	1.1935	1.1935	0.51%	-2.20%	18.76%	40.98%	60.29%	89.44%	55.28%	12.31%	64.42%	19.35%	87.10%
118	19189	华商品质价值	8月5日	1.6258	1.6258	1.12%	1.47%	11.28%	21.56%	35.10%	89.44%	---	---	33.45%	62.58%	85.53%
119	17290	中欧科创主题	8月5日	2.3461	2.3461	0.03%	-2.95%	9.76%	8.23%	20.33%	89.31%	61.54%	---	32.47%	43.08%	86.44%
120	10378	广发价值核心	8月5日	0.8445	0.8445	0.86%	-2.09%	5.89%	14.52%	35.62%	89.18%	53.43%	33.96%	45.70%	-15.55%	85.69%
121	17511	鹏华稳健回报	8月5日	1.2633	1.2633	-0.68%	0.59%	12.05%	31.25%	34.09%	89.09%	33.82%	---	34.31%	26.33%	84.34%
122	15880	中欧小盘成长	8月5日	1.445	1.445	0.88%	1.57%	11.46%	25.63%	37.87%	88.96%	46.09%	43.51%	40.11%	44.50%	86.00%
123	6038	大成景恒混合	8月5日	3.2863	3.2863	0.35%	1.07%	9.35%	22.44%	31.53%	88.72%	38.14%	53.14%	31.43%	224.09%	84.89%
124	11371	华商远见价值	8月5日	0.6782	0.6782	0.98%	0.89%	10.94%	21.06%	30.50%	88.55%	27.27%	-0.22%	27.96%	-32.18%	84.90%
125	5851	财通新视野灵	8月5日	2.8372	2.8372	0.47%	-0.86%	10.77%	41.32%	36.82%	88.09%	55.59%	41.01%	38.65%	183.72%	84.37%
126	17627	长城港股通价	8月5日	1.2226	1.2226	1.26%	-1.45%	6.30%	11.79%	30.82%	88.01%	45.77%	---	42.43%	38.18%	88.12%
127	5311	万家经济新动	8月5日	1.8481	1.8481	-0.22%	-0.36%	10.67%	3.60%	31.51%	87.89%	8.62%	4.11%	41.60%	84.81%	85.70%
128	15881	中欧小盘成长	8月5日	1.4184	1.4184	0.87%	1.56%	11.40%	25.43%	37.47%	87.84%	44.35%	40.95%	39.62%	41.84%	84.90%
129	354	长盛城镇化主	8月5日	1.8666	2.5146	1.33%	-0.40%	25.18%	15.60%	25.93%	87.81%	25.20%	15.51%	26.76%	184.28%	82.59%
130	12093	鹏华创新升级	8月5日	1.3723	1.3723	1.02%	0.00%	13.04%	29.04%	70.64%	87.70%	69.23%	57.81%	70.81%	37.23%	82.63%
131	11372	华商远见价值	8月5日	0.6564	0.6564	0.98%	0.88%	10.88%	20.79%	29.95%	87.65%	25.24%	-2.54%	27.33%	-34.36%	84.07%
132	17835	信澳匠心回报	8月5日	1.7487	1.7487	-0.19%	0.83%	11.19%	34.45%	54.17%	87.61%	---	---	61.38%	74.87%	87.15%
133	11355	华泰柏瑞港股	8月5日	0.6209	0.6209	0.31%	-3.09%	2.27%	12.24%	34.07%	87.58%	3.09%	4.14%	34.54%	-37.91%	85.84%
134	18227	瑞达先进制造	8月5日	1.458	1.458	0.67%	-0.36%	10.87%	45.38%	48.29%	87.38%	46.83%	---	50.60%	45.80%	84.25%
135	4206	华商元亨混合	8月5日	2.2521	2.6141	0.77%	0.58%	15.20%	38.92%	34.02%	87.32%	74.29%	90.43%	40.84%	180.33%	84.79%
136	5312	万家经济新动	8月5日	1.7654	1.7654	-0.22%	-0.37%	10.62%	3.46%	31.18%	86.95%	7.53%	2.56%	41.18%	76.54%	84.78%
137	14313	鹏华创新增长	8月5日	1.5781	1.5781	1.22%	-0.40%	10.07%	29.70%	77.59%	86.85%	67.37%	57.40%	74.96%	57.81%	80.81%
138	18933	长盛城镇化主	8月5日	1.8439	1.8439	1.32%	-0.42%	25.11%	15.40%	25.54%	86.65%	23.69%	---	26.30%	22.98%	81.47%
139	5959	财通新视野灵	8月5日	2.6804	2.6804	0.46%	-0.87%	10.69%	41.01%	36.28%	86.61%	53.11%	37.68%	38.00%	168.04%	82.91%
140	19053	华商元亨混合	8月5日	2.2323	2.5493	0.78%	0.57%	15.16%	38.77%	33.75%	86.58%	---	---	40.50%	77.52%	84.06%
141	17836	信澳匠心回报	8月5日	1.7295	1.7295	-0.19%	0.83%	11.14%	34.27%	53.75%	86.55%	---	---	60.84%	72.95%	86.09%
142	11356	华泰柏瑞港股	8月5日	0.6051	0.6051	0.31%	-3.09%	2.23%	12.08%	33.69%	86.36%	1.83%	2.25%	34.11%	-39.49%	84.65%
